"P/O Number","Backorder Number","SKU Number","Location","Distributed Qty","Total Rec""d Qty","Current Rec""d Qty","PROCESSED Y/N","Buy U/M Cost","Sell U/M Cost","Unit Retail"
300013,0,30000000,1,1.0,0,1.0,"Y",250.0,250.0,499.75
300013,0,30000000,6,1.0,0,1.0,"Y",250.0,250.0,499.75
300013,0,30000000,15,1.0,0,1.0,"Y",250.0,250.0,499.75
300013,0,30000000,277,1.0,0,1.0,"Y",250.0,250.0,499.75
300014,0,30000000,2,1.0,0,1.0,"Y",250.0,250.0,499.75
300014,0,30000000,9,1.0,0,1.0,"Y",250.0,250.0,499.75
300014,0,30000000,46,1.0,0,1.0,"Y",250.0,250.0,499.75
300014,0,30000000,228,1.0,0,1.0,"Y",250.0,250.0,499.75
300014,0,30000000,276,1.0,0,1.0,"Y",250.0,250.0,499.75
300015,0,30000000,3,1.0,0,1.0,"Y",250.0,250.0,499.75
300015,0,30000000,65,1.0,0,1.0,"Y",250.0,250.0,499.75
300015,0,30000000,73,1.0,0,1.0,"Y",250.0,250.0,499.75
300015,0,30000000,156,1.0,0,1.0,"Y",250.0,250.0,499.75
300015,0,30000000,245,1.0,0,1.0,"Y",250.0,250.0,499.75
300016,0,30000000,138,1.0,0,1.0,"Y",250.0,250.0,499.75
300016,0,30000000,274,1.0,0,1.0,"Y",250.0,250.0,499.75
300017,0,30000000,94,1.0,0,1.0,"Y",250.0,250.0,499.75
300017,0,30000000,134,1.0,0,1.0,"Y",250.0,250.0,499.75
300017,0,30000000,238,1.0,0,1.0,"Y",250.0,250.0,499.75
300017,0,30000000,351,1.0,0,1.0,"Y",250.0,250.0,499.75
300017,0,30000000,353,1.0,0,1.0,"Y",250.0,250.0,499.75
300018,0,30000000,14,1.0,0,1.0,"Y",250.0,250.0,499.75
300018,0,30000000,145,1.0,0,1.0,"Y",250.0,250.0,499.75
300018,0,30000000,241,1.0,0,1.0,"Y",250.0,250.0,499.75
300018,0,30000000,275,1.0,0,1.0,"Y",250.0,250.0,499.75
300018,0,30000000,432,1.0,0,1.0,"Y",250.0,250.0,499.75
300018,0,30000000,440,1.0,0,1.0,"Y",250.0,250.0,499.75
300019,0,30000000,130,1.0,0,1.0,"Y",250.0,250.0,499.75
300019,0,30000000,148,1.0,0,1.0,"Y",250.0,250.0,499.75
300019,0,30000000,270,1.0,0,1.0,"Y",250.0,250.0,499.75
300020,0,30000000,32,1.0,0,1.0,"Y",250.0,250.0,499.75
300020,0,30000000,50,1.0,0,1.0,"Y",250.0,250.0,499.75
300020,0,30000000,142,1.0,0,1.0,"Y",250.0,250.0,499.75
300020,0,30000000,149,1.0,0,1.0,"Y",250.0,250.0,499.75
300020,0,30000000,352,1.0,0,1.0,"Y",250.0,250.0,499.75
300021,0,30000000,95,1.0,0,1.0,"Y",250.0,250.0,499.75
300021,0,30000000,120,1.0,0,1.0,"Y",250.0,250.0,499.75
300022,0,30000013,1,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000013,6,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000013,15,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000013,277,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000013,448,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000013,855,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000013,1268,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000013,1896,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000014,1,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000014,6,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000014,15,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000014,277,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000014,448,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000014,855,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000014,1268,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000014,1896,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000015,1,4.0,0,4.0,"",500.0,500.0,999.0
300022,0,30000015,6,4.0,0,4.0,"",500.0,500.0,999.0
300022,0,30000015,15,4.0,0,4.0,"",500.0,500.0,999.0
300022,0,30000015,277,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000015,448,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000015,855,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000015,1268,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000015,1896,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000016,1,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000016,6,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000016,15,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000016,277,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000016,448,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000016,855,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000016,1268,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000016,1896,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000017,1,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000017,6,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000017,15,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000017,277,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000017,448,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000017,855,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000017,1268,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000017,1896,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000018,1,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000018,6,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000018,15,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000018,277,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000018,448,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000018,855,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000018,1268,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000019,1,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000019,6,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000019,15,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000019,277,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000019,448,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000019,855,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000019,1268,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000019,1896,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000020,1,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000020,6,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000020,15,3.0,0,3.0,"",500.0,500.0,999.0
300022,0,30000020,277,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000020,448,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000020,855,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000020,1268,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000020,1896,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000021,1,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000021,6,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000021,15,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000021,277,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000021,448,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000021,855,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000021,1268,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000021,1896,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000022,1,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000022,6,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000022,15,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000022,277,2.0,0,2.0,"",500.0,500.0,999.0
300022,0,30000022,448,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000022,855,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000022,1268,1.0,0,1.0,"",500.0,500.0,999.0
300022,0,30000022,1896,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000013,2,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000013,9,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000013,46,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000013,228,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000013,276,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000013,1875,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000013,3065,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000013,3574,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000014,2,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000014,9,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000014,46,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000014,228,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000014,276,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000014,1875,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000014,3065,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000014,3574,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000015,2,4.0,0,4.0,"",500.0,500.0,999.0
300023,0,30000015,9,4.0,0,4.0,"",500.0,500.0,999.0
300023,0,30000015,46,4.0,0,4.0,"",500.0,500.0,999.0
300023,0,30000015,228,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000015,276,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000015,1875,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000015,3065,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000015,3574,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000016,2,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000016,9,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000016,46,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000016,228,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000016,276,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000016,1875,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000016,3065,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000016,3574,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000017,2,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000017,9,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000017,46,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000017,228,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000017,276,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000017,1875,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000017,3065,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000017,3574,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000018,2,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000018,9,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000018,46,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000018,228,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000018,276,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000019,2,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000019,9,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000019,46,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000019,228,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000019,276,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000019,1875,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000019,3065,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000019,3574,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000020,2,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000020,9,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000020,46,3.0,0,3.0,"",500.0,500.0,999.0
300023,0,30000020,228,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000020,276,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000020,1875,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000020,3065,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000020,3574,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000021,2,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000021,9,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000021,46,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000021,228,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000021,276,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000021,1875,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000021,3065,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000021,3574,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000022,2,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000022,9,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000022,46,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000022,228,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000022,276,2.0,0,2.0,"",500.0,500.0,999.0
300023,0,30000022,1875,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000022,3065,1.0,0,1.0,"",500.0,500.0,999.0
300023,0,30000022,3574,1.0,0,1.0,"",500.0,500.0,999.0
300024,0,30000013,3,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000013,65,1.0,0,1.0,"",500.0,500.0,999.0
300024,0,30000013,73,1.0,0,1.0,"",500.0,500.0,999.0
300024,0,30000013,156,1.0,0,1.0,"",500.0,500.0,999.0
300024,0,30000013,245,1.0,0,1.0,"",500.0,500.0,999.0
300024,0,30000013,1132,1.0,0,1.0,"",500.0,500.0,999.0
300024,0,30000013,1204,1.0,0,1.0,"",500.0,500.0,999.0
300024,0,30000014,3,3.0,0,3.0,"",500.0,500.0,999.0
300024,0,30000014,65,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000014,73,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000014,156,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000014,245,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000014,1132,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000014,1204,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000015,3,4.0,0,4.0,"",500.0,500.0,999.0
300024,0,30000015,65,4.0,0,4.0,"",500.0,500.0,999.0
300024,0,30000015,73,4.0,0,4.0,"",500.0,500.0,999.0
300024,0,30000015,156,3.0,0,3.0,"",500.0,500.0,999.0
300024,0,30000015,245,3.0,0,3.0,"",500.0,500.0,999.0
300024,0,30000015,1132,3.0,0,3.0,"",500.0,500.0,999.0
300024,0,30000015,1204,3.0,0,3.0,"",500.0,500.0,999.0
300024,0,30000016,3,3.0,0,3.0,"",500.0,500.0,999.0
300024,0,30000016,65,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000016,73,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000016,156,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000016,245,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000016,1132,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000016,1204,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000017,3,3.0,0,3.0,"",500.0,500.0,999.0
300024,0,30000017,65,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000017,73,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000017,156,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000017,245,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000017,1132,2.0,0,2.0,"",500.0,500.0,999.0
300024,0,30000017,1204,2.0,0,2.0,"",500.0,500.0,999.0
